SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,4.678,15,42,30,12,30.6,0.0,37.632000000000005,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,70,0,0,190,110,18.169,220.818,3.34,-40.06920000000001,18.169,220.818,0.0963399355012739
C=CC[C@@H]1C=C[C@H](O/N=C(\C)CCN2CCc3nc(-c4ccccc4)c(-c4ccccc4)cc3C2)[C@H](CO)O1,4.968,15,28,28,12,37.74,0.0,50.176,7.668,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,87,0,0,243,147,24.68950000000001,290.2873999999999,4.935300000000001,-49.790700000000015,24.68950000000001,290.2873999999999,0.0886134099998022
CCC(C(=O)[O-])C1CCC(C)C(C(C)C(O)C(C)C(=O)C(CC)C2OC3(C=CC(O)[C@@]4(CC[C@](C)(C5CC[C@@](O)(CC)C(C)O5)O4)O3)C(C)CC2C)O1.[Na+],5.173,17,36,46,12,70.38,0.0,131.71200000000002,3.834,48.983,0.0,0.0,0.0,0.0,2.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217,134,0,0,351,189,57.91670000000006,646.9908000000003,10.455800000000002,-123.30960000000006,57.91670000000006,646.9908000000003,0.1092109420204484
Cc1cc(Nc2ccc(O)cc2)ccc1N,4.918,19,25,25,12,14.28,0.0,3.136,7.668,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,36,0,0,100,60,3.1348000000000003,52.9981,0.6278,-8.0955,3.1348000000000003,52.9981,0.0858932060383011
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](O)[C@@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O,4.908,14,28,28,12,39.78,0.0,50.176,7.668,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,99,0,0,267,153,27.382300000000004,363.83560000000006,5.8273,-55.85750000000001,27.382300000000004,363.83560000000006,0.1014936244395334
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,4.876,18,45,33,0,11.22,0.0,3.136,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,41,0,0,109,61,3.3215,70.66290000000001,0.6986000000000001,-9.4479,3.3215,70.66290000000001,0.0604247405682615
COc1ccccc1/C=C/C(=O)C1=[SH]CC=C1,4.822,12,37,29,12,14.28,0.0,25.088,0.0,8.906,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,46,0,0,116,64,14.5208,141.05769999999998,2.498,-31.4992,14.5208,141.05769999999998,0.0382017334827073
CCCNC(=O)OC[C@@H]1O[C@H](CCO/N=C\[C@@H](OC)[C@H](C)/C=C\CC(=O)OC)C=C[C@@H]1Oc1ccc(OC)cc1,5.325,12,41,29,12,42.84,0.0,72.128,7.668,40.077000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,100,0,0,260,140,37.44370000000003,487.4927000000002,7.6739000000000015,-78.02600000000004,37.44370000000003,487.4927000000002,0.1169503603425134
COc1cc(/C=C/C(=O)c2cccs2)cc(OC)c1OC,4.881,7,37,29,12,16.32,0.0,18.816000000000003,0.0,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,58,0,0,144,74,9.2712,128.07379999999998,1.7408,-21.387,9.2712,128.07379999999998,0.0432172567564962
Cc1ccc(N)cc1[N+](=O)[O-],4.787,13,15,37,30,8.16,0.0,3.136,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,28,0,0,72,38,3.5878,68.4555,0.7384000000000001,-9.7653,3.5878,68.4555,0.0270334675156362
